Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.5261	70.4896	0.7768	0.3974	0.8199	0.3249	0.3249	0.5054	2770.0000	18101.0000
chr1	0.4925	73.1122	0.7894	0.4516	0.8660	0.8130	0.8130	2.8455	246.0000	1626.0000
chr10	0.4357	75.0391	0.8283	0.4054	0.9127	0.0000	0.0000	0.0000	102.0000	965.0000
chr11	0.4846	72.5248	0.8113	0.4375	0.8557	4.5455	4.5455	6.4935	154.0000	1081.0000
chr12	0.5101	70.8971	0.7747	0.3877	0.8399	0.9009	0.9009	0.9009	111.0000	784.0000
chr13	0.4699	78.1257	0.8748	0.4254	0.8799	8.6957	8.6957	8.6957	23.0000	209.0000
chr14	0.5004	71.3404	0.7814	0.4753	0.8576	3.5714	3.5714	3.5714	84.0000	486.0000
chr15	0.5218	73.6732	0.7982	0.4235	0.8495	1.0526	1.0526	1.0526	95.0000	619.0000
chr16	0.6312	67.7340	0.7516	0.3830	0.7360	1.6949	1.6949	1.6949	118.0000	636.0000
chr17	0.5599	66.1122	0.7258	0.3533	0.7344	0.2137	0.2137	0.2137	468.0000	2725.0000
chr18	0.5057	71.6868	0.8122	0.4547	0.8357	8.1081	8.1081	8.1081	37.0000	228.0000
chr19	0.5905	70.8302	0.7810	0.4678	0.7887	1.6393	1.6393	4.9180	183.0000	868.0000
chr2	0.5015	70.8882	0.7658	0.4034	0.7965	5.9829	5.9829	7.6923	117.0000	748.0000
chr20	0.5382	71.1128	0.7724	0.3344	0.8229	1.2346	1.2346	1.2346	81.0000	671.0000
chr21	0.5223	65.8701	0.7601	0.3885	0.7413	12.5000	12.5000	12.5000	32.0000	204.0000
chr22	0.6192	69.4239	0.7767	0.4181	0.7741	6.0606	6.0606	9.0909	99.0000	577.0000
chr3	0.4733	74.6118	0.8169	0.4479	0.8920	1.5625	1.5625	9.3750	128.0000	975.0000
chr4	0.4545	70.1450	0.7891	0.3842	0.8515	0.0000	11.5044	11.5044	113.0000	885.0000
chr5	0.4741	72.3423	0.8064	0.3869	0.8213	1.1111	1.1111	1.1111	90.0000	666.0000
chr6	0.5831	69.7995	0.7672	0.3888	0.8130	1.0811	1.0811	1.0811	185.0000	1220.0000
chr7	0.5679	66.3355	0.7450	0.3327	0.7034	0.6494	0.6494	0.6494	154.0000	938.0000
chr8	0.5107	72.0952	0.7821	0.4248	0.8480	4.0000	4.0000	8.0000	75.0000	525.0000
chr9	0.5438	68.4023	0.7761	0.3740	0.8078	0.0000	0.0000	0.0000	75.0000	464.0000
