Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.5219	70.6637	0.7776	0.3993	0.8217	0.2888	0.2888	0.5776	2770.0000	18101.0000
chr1	0.4917	73.2540	0.7901	0.4537	0.8673	0.8130	0.8130	2.8455	246.0000	1626.0000
chr10	0.4712	76.0911	0.8309	0.4096	0.9151	0.0000	0.0000	0.0000	102.0000	965.0000
chr11	0.4826	72.8495	0.8129	0.4396	0.8579	4.5455	4.5455	8.4416	154.0000	1081.0000
chr12	0.5089	70.4467	0.7742	0.3881	0.8397	0.9009	0.9009	0.9009	111.0000	784.0000
chr13	0.4681	78.1257	0.8752	0.4279	0.8830	8.6957	8.6957	8.6957	23.0000	209.0000
chr14	0.4996	71.0317	0.7828	0.4767	0.8587	3.5714	3.5714	3.5714	84.0000	486.0000
chr15	0.5194	73.1468	0.7982	0.4254	0.8501	1.0526	1.0526	1.0526	95.0000	619.0000
chr16	0.6292	68.2363	0.7514	0.3810	0.7353	1.6949	1.6949	1.6949	118.0000	636.0000
chr17	0.5581	66.3593	0.7276	0.3566	0.7389	0.4274	0.4274	0.4274	468.0000	2725.0000
chr18	0.4977	70.7741	0.8131	0.4528	0.8373	8.1081	8.1081	8.1081	37.0000	228.0000
chr19	0.5850	71.2762	0.7816	0.4683	0.7899	1.6393	1.6393	4.9180	183.0000	868.0000
chr2	0.5016	70.8882	0.7665	0.4015	0.7944	5.9829	5.9829	5.9829	117.0000	748.0000
chr20	0.5395	70.9637	0.7729	0.3352	0.8237	1.2346	1.2346	1.2346	81.0000	671.0000
chr21	0.5161	66.1152	0.7623	0.3911	0.7467	12.5000	12.5000	12.5000	32.0000	204.0000
chr22	0.5906	69.9587	0.7780	0.4173	0.7741	6.0606	6.0606	9.0909	99.0000	577.0000
chr3	0.4706	75.1562	0.8181	0.4470	0.8911	1.5625	1.5625	10.1562	128.0000	975.0000
chr4	0.4553	70.1450	0.7900	0.3857	0.8525	0.0000	11.5044	11.5044	113.0000	885.0000
chr5	0.4740	72.4174	0.8065	0.3859	0.8213	1.1111	1.1111	1.1111	90.0000	666.0000
chr6	0.5123	70.0399	0.7691	0.3935	0.8150	1.0811	1.0811	1.0811	185.0000	1220.0000
chr7	0.5653	66.3888	0.7460	0.3358	0.7054	0.6494	0.6494	0.6494	154.0000	938.0000
chr8	0.5468	73.1429	0.7836	0.4339	0.8475	8.0000	8.0000	8.0000	75.0000	525.0000
chr9	0.5431	68.6178	0.7753	0.3734	0.8073	0.0000	0.0000	0.0000	75.0000	464.0000
