Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.6872	53.4213	0.5531	0.1556	0.2006	0.0000	0.0000	0.0000	2770.0000	18101.0000
chr1	0.6862	52.5545	0.5396	0.1492	0.1647	0.0000	0.0000	0.0000	246.0000	1626.0000
chr10	0.6849	57.4271	0.5961	0.1266	0.3462	0.0000	0.0000	0.0000	102.0000	965.0000
chr11	0.6856	54.5088	0.5713	0.1608	0.1957	0.0000	0.0000	0.0000	154.0000	1081.0000
chr12	0.6864	51.5921	0.5445	0.1406	0.2108	0.0000	0.0000	0.0000	111.0000	784.0000
chr13	0.6810	57.9051	0.6206	0.1925	0.4499	4.3478	4.3478	4.3478	23.0000	209.0000
chr14	0.6869	53.5788	0.5653	0.1996	0.1375	2.3810	2.3810	2.3810	84.0000	486.0000
chr15	0.6883	55.5982	0.5462	0.1494	0.1539	0.0000	0.0000	0.0000	95.0000	619.0000
chr16	0.6904	51.2885	0.5258	0.2095	0.1903	1.6949	1.6949	1.6949	118.0000	636.0000
chr17	0.6891	53.0734	0.5441	0.1577	0.1144	0.0000	0.0000	0.0000	468.0000	2725.0000
chr18	0.6854	54.3326	0.5258	0.2042	0.3401	2.7027	2.7027	2.7027	37.0000	228.0000
chr19	0.6898	56.7252	0.5877	0.2214	0.3126	0.0000	0.0000	0.0000	183.0000	868.0000
chr2	0.6860	54.1598	0.5397	0.1488	0.0471	0.0000	0.0000	0.0000	117.0000	748.0000
chr20	0.6880	52.9539	0.5738	0.1430	0.4560	0.0000	0.0000	0.0000	81.0000	671.0000
chr21	0.6893	58.3640	0.5680	0.1705	0.3356	0.0000	0.0000	0.0000	32.0000	204.0000
chr22	0.6927	49.1273	0.5209	0.1774	0.1290	0.0000	0.0000	0.0000	99.0000	577.0000
chr3	0.6848	53.6306	0.5641	0.1390	0.2735	0.0000	0.0000	0.0000	128.0000	975.0000
chr4	0.6846	53.6303	0.5648	0.1340	0.2614	0.0000	0.0000	0.0000	113.0000	885.0000
chr5	0.6868	50.9159	0.5249	0.1522	0.2721	1.1111	1.1111	1.1111	90.0000	666.0000
chr6	0.6855	50.8197	0.5352	0.1574	0.1467	0.5405	0.5405	0.5405	185.0000	1220.0000
chr7	0.6886	52.3890	0.5461	0.1647	0.1916	0.6494	0.6494	0.6494	154.0000	938.0000
chr8	0.6880	52.3810	0.5294	0.1288	-0.0710	0.0000	0.0000	0.0000	75.0000	525.0000
chr9	0.6883	52.6638	0.5557	0.1504	-0.0235	0.0000	0.0000	0.0000	75.0000	464.0000
