Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.4317	78.9274	0.8720	0.5041	0.9002	1.2539	1.3793	2.3824	1595.0000	11399.0000
chr1	0.4194	78.7675	0.8737	0.4830	0.8969	2.0979	2.0979	6.2937	143.0000	1134.0000
chr10	0.4366	77.4606	0.8511	0.5082	0.9010	1.2195	1.2195	15.8537	82.0000	565.0000
chr11	0.5192	74.1814	0.8303	0.4877	0.8855	2.3810	2.3810	10.7143	84.0000	557.0000
chr12	0.4208	80.7682	0.9066	0.5742	0.9377	12.9870	12.9870	18.1818	77.0000	590.0000
chr13	0.3158	80.6048	0.9231	0.5084	0.9314	0.0000	0.0000	0.0000	28.0000	274.0000
chr14	0.4321	76.6576	0.8531	0.4258	0.8646	2.1277	2.1277	2.1277	47.0000	361.0000
chr15	0.4987	77.3904	0.8417	0.4605	0.8561	3.5088	3.5088	3.5088	57.0000	360.0000
chr16	0.5656	77.8725	0.8593	0.6342	0.8611	5.2632	5.2632	24.2105	95.0000	355.0000
chr17	0.4945	74.0938	0.8397	0.4787	0.8460	2.3810	2.3810	2.3810	84.0000	469.0000
chr18	0.4069	75.6933	0.8592	0.3674	0.8700	0.0000	0.0000	0.0000	28.0000	255.0000
chr19	0.6810	74.5851	0.8007	0.4809	0.6835	1.0101	1.0101	1.0101	99.0000	308.0000
chr2	0.3842	82.8161	0.8982	0.5673	0.9373	5.1724	10.3448	11.2069	116.0000	953.0000
chr20	0.4946	80.1553	0.8641	0.4922	0.9225	7.5000	7.5000	22.5000	40.0000	338.0000
chr21	0.4347	83.7745	0.9044	0.5014	0.9092	13.3333	13.3333	13.3333	15.0000	136.0000
chr22	0.5355	74.3850	0.8323	0.6741	0.8683	25.0000	31.2500	35.4167	48.0000	166.0000
chr3	0.4007	80.6834	0.8887	0.4929	0.8955	5.1020	5.1020	6.1224	98.0000	760.0000
chr4	0.3575	75.5283	0.8696	0.3656	0.8954	2.1739	2.1739	2.1739	46.0000	572.0000
chr5	0.4013	79.1159	0.8593	0.4402	0.9234	4.6875	4.6875	6.2500	64.0000	656.0000
chr6	0.3206	77.0603	0.8757	0.4957	0.9327	1.1905	1.1905	11.9048	84.0000	787.0000
chr7	0.4191	79.7764	0.8783	0.4752	0.8678	7.1429	7.1429	9.5238	84.0000	617.0000
chr8	0.4278	77.1378	0.8660	0.5179	0.9138	10.0000	10.0000	10.0000	60.0000	467.0000
chr9	0.4243	78.9953	0.8826	0.6022	0.9244	9.7222	9.7222	12.5000	72.0000	470.0000
chrX	0.4038	80.3702	0.8999	0.6329	0.9306	2.2727	2.2727	29.5455	44.0000	248.0000
