Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.6875	53.6496	0.5532	0.1580	0.1475	0.0000	0.0000	0.0000	1691.0000	10479.0000
chr1	0.6889	50.7937	0.5404	0.1467	0.1238	0.0000	0.0000	0.0000	162.0000	1057.0000
chr10	0.6873	50.8697	0.5152	0.1655	0.0912	1.0989	1.0989	1.0989	91.0000	537.0000
chr11	0.6883	50.9524	0.5357	0.1628	0.1448	1.1905	1.1905	1.1905	84.0000	525.0000
chr12	0.6875	48.4578	0.5077	0.1218	-0.2040	0.0000	0.0000	0.0000	77.0000	528.0000
chr13	0.6827	60.1182	0.6157	0.1926	0.4715	0.0000	0.0000	0.0000	36.0000	235.0000
chr14	0.6868	51.8835	0.5368	0.2252	0.1938	5.4545	5.4545	5.4545	55.0000	306.0000
chr15	0.6877	55.6061	0.5609	0.1707	0.1422	0.0000	0.0000	0.0000	55.0000	330.0000
chr16	0.6881	55.0958	0.5656	0.2072	0.0816	0.0000	0.0000	0.0000	85.0000	356.0000
chr17	0.6897	54.6913	0.5317	0.1650	-0.1005	0.0000	0.0000	0.0000	88.0000	452.0000
chr18	0.6909	42.5037	0.4222	0.0935	-0.5984	0.0000	0.0000	0.0000	30.0000	227.0000
chr19	0.6924	51.8858	0.5148	0.2129	0.0300	0.0000	0.0000	0.0000	88.0000	326.0000
chr2	0.6864	56.5281	0.5761	0.1400	0.2612	0.0000	0.0000	0.0000	112.0000	854.0000
chr20	0.6890	47.9635	0.5289	0.1448	0.0643	0.0000	0.0000	0.0000	50.0000	329.0000
chr21	0.6847	64.1876	0.6632	0.2470	0.2002	0.0000	0.0000	0.0000	23.0000	114.0000
chr22	0.6873	55.2589	0.5935	0.3147	0.3880	1.9231	1.9231	1.9231	52.0000	179.0000
chr3	0.6882	54.7104	0.5483	0.1613	0.1152	0.0000	0.0000	0.0000	116.0000	695.0000
chr4	0.6852	56.4401	0.6056	0.1751	0.4294	0.0000	0.0000	0.0000	67.0000	478.0000
chr5	0.6886	50.4092	0.5220	0.1216	-0.1692	0.0000	0.0000	0.0000	80.0000	559.0000
chr6	0.6861	55.0434	0.5900	0.1223	0.3761	0.0000	0.0000	0.0000	65.0000	762.0000
chr7	0.6850	58.1609	0.6019	0.1948	0.4024	0.0000	0.0000	0.0000	87.0000	550.0000
chr8	0.6852	56.3255	0.5730	0.1726	0.1677	0.0000	0.0000	0.0000	67.0000	420.0000
chr9	0.6893	55.9099	0.5625	0.1703	0.2868	0.0000	0.0000	0.0000	72.0000	439.0000
chrX	0.6852	53.7013	0.5679	0.2067	0.2640	0.0000	0.0000	0.0000	49.0000	220.0000
