Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.6845	55.5589	0.5796	0.1525	0.2887	0.0627	0.0627	0.0627	1595.0000	11399.0000
chr1	0.6853	59.0536	0.6150	0.1470	0.3627	0.0000	0.0000	0.0000	143.0000	1134.0000
chr10	0.6844	53.1999	0.5535	0.1562	0.3843	0.0000	0.0000	0.0000	82.0000	565.0000
chr11	0.6862	51.1178	0.5368	0.1350	-0.1076	0.0000	0.0000	0.0000	84.0000	557.0000
chr12	0.6833	57.2177	0.5676	0.1427	0.2510	0.0000	0.0000	0.0000	77.0000	590.0000
chr13	0.6791	61.6397	0.6275	0.1451	0.3699	0.0000	0.0000	0.0000	28.0000	274.0000
chr14	0.6889	51.6149	0.4824	0.1032	-0.2394	0.0000	0.0000	0.0000	47.0000	361.0000
chr15	0.6847	52.8070	0.5728	0.1678	0.3264	0.0000	0.0000	0.0000	57.0000	360.0000
chr16	0.6909	53.8473	0.5347	0.2305	0.1909	0.0000	0.0000	0.0000	95.0000	355.0000
chr17	0.6872	52.2921	0.5522	0.1970	0.2849	1.1905	1.1905	1.1905	84.0000	469.0000
chr18	0.6806	51.5826	0.5437	0.1126	-0.0429	0.0000	0.0000	0.0000	28.0000	255.0000
chr19	0.6913	47.5289	0.5019	0.2339	-0.0268	0.0000	0.0000	0.0000	99.0000	308.0000
chr2	0.6841	50.7300	0.5436	0.1312	0.1780	0.0000	0.0000	0.0000	116.0000	953.0000
chr20	0.6865	58.7648	0.6114	0.1868	0.4362	2.5000	2.5000	2.5000	40.0000	338.0000
chr21	0.6860	50.1471	0.5569	0.1654	0.5569	0.0000	0.0000	0.0000	15.0000	136.0000
chr22	0.6928	51.6441	0.4995	0.2239	0.0917	0.0000	0.0000	0.0000	48.0000	166.0000
chr3	0.6852	56.8099	0.5915	0.1507	0.3659	0.0000	0.0000	0.0000	98.0000	760.0000
chr4	0.6813	58.3042	0.6332	0.1115	0.5047	0.0000	0.0000	0.0000	46.0000	572.0000
chr5	0.6823	55.7355	0.5868	0.1167	0.3450	0.0000	0.0000	0.0000	64.0000	656.0000
chr6	0.6819	57.0604	0.6176	0.1242	0.2531	0.0000	0.0000	0.0000	84.0000	787.0000
chr7	0.6813	60.9613	0.6606	0.1899	0.5198	0.0000	0.0000	0.0000	84.0000	617.0000
chr8	0.6829	54.2148	0.5738	0.1361	0.2294	0.0000	0.0000	0.0000	60.0000	467.0000
chr9	0.6835	60.8126	0.6402	0.1896	0.4594	0.0000	0.0000	0.0000	72.0000	470.0000
chrX	0.6832	58.1195	0.5765	0.2088	0.3899	0.0000	0.0000	0.0000	44.0000	248.0000
