Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.4937	72.7908	0.8127	0.4496	0.8407	1.2411	1.8322	3.4870	1692.0000	10478.0000
chr1	0.4801	69.4593	0.7949	0.3993	0.8172	1.8519	1.8519	3.7037	162.0000	1057.0000
chr10	0.5301	69.7731	0.7866	0.4486	0.8097	3.2967	3.2967	12.0879	91.0000	537.0000
chr11	0.5440	69.1667	0.7588	0.4079	0.7945	5.9524	5.9524	7.1429	84.0000	525.0000
chr12	0.4343	79.4102	0.8548	0.5117	0.8864	6.4935	6.4935	6.4935	77.0000	528.0000
chr13	0.4126	74.3972	0.8444	0.4762	0.8746	5.5556	5.5556	5.5556	36.0000	235.0000
chr14	0.4472	76.9786	0.8659	0.5807	0.9057	1.8182	1.8182	23.6364	55.0000	306.0000
chr15	0.8725	74.3939	0.8587	0.5000	0.8533	7.2727	7.2727	7.2727	55.0000	330.0000
chr16	0.5234	74.1110	0.8369	0.5675	0.8409	3.5294	3.5294	9.4118	85.0000	356.0000
chr17	0.5486	68.7500	0.7696	0.4410	0.7955	2.2727	2.2727	2.2727	88.0000	452.0000
chr18	0.4436	72.9809	0.8499	0.3653	0.8456	0.0000	0.0000	0.0000	30.0000	227.0000
chr19	0.6556	68.1574	0.7683	0.5445	0.7678	11.3636	11.3636	11.3636	88.0000	326.0000
chr2	0.4675	71.6262	0.8042	0.3873	0.8280	3.5714	3.5714	3.5714	112.0000	854.0000
chr20	0.5141	68.6900	0.7965	0.4473	0.8594	6.0000	6.0000	6.0000	50.0000	329.0000
chr21	0.5714	68.5927	0.7189	0.3455	0.7269	0.0000	0.0000	0.0000	23.0000	114.0000
chr22	0.6163	71.7340	0.7568	0.5176	0.6570	13.4615	13.4615	13.4615	52.0000	179.0000
chr3	0.4540	75.1290	0.8302	0.4746	0.8533	2.5862	2.5862	2.5862	116.0000	695.0000
chr4	0.4075	71.5871	0.8256	0.4051	0.8364	2.9851	2.9851	2.9851	67.0000	478.0000
chr5	0.4510	70.3399	0.8117	0.3987	0.8404	1.2500	1.2500	1.2500	80.0000	559.0000
chr6	0.4003	72.5671	0.8193	0.3426	0.8834	4.6154	4.6154	4.6154	65.0000	762.0000
chr7	0.4624	76.9927	0.8421	0.4997	0.8808	2.2989	2.2989	2.2989	87.0000	550.0000
chr8	0.4508	76.0590	0.8293	0.5049	0.8820	5.9701	5.9701	7.4627	67.0000	420.0000
chr9	0.4603	75.6217	0.8466	0.5273	0.8845	5.5556	5.5556	6.9444	72.0000	439.0000
chrX	0.4252	72.7690	0.8438	0.5584	0.8447	6.1224	6.1224	8.1633	49.0000	220.0000
