Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.4748	73.0323	0.8171	0.4585	0.8463	1.7150	2.7203	5.2040	1691.0000	10479.0000
chr1	0.4960	69.5338	0.7974	0.4016	0.8183	2.4691	2.4691	2.4691	162.0000	1057.0000
chr10	0.5172	70.0524	0.7883	0.4486	0.8084	3.2967	3.2967	12.0879	91.0000	537.0000
chr11	0.5427	69.6667	0.7601	0.4087	0.7949	5.9524	5.9524	10.7143	84.0000	525.0000
chr12	0.3480	77.4351	0.8613	0.5260	0.8934	6.4935	6.4935	7.7922	77.0000	528.0000
chr13	0.4130	74.3972	0.8446	0.4824	0.8809	5.5556	5.5556	5.5556	36.0000	235.0000
chr14	0.4505	76.6518	0.8655	0.5818	0.9077	1.8182	1.8182	23.6364	55.0000	306.0000
chr15	0.5244	81.3636	0.8603	0.5056	0.8606	7.2727	7.2727	7.2727	55.0000	330.0000
chr16	0.5241	74.1110	0.8378	0.5712	0.8424	4.7059	4.7059	9.4118	85.0000	356.0000
chr17	0.5464	69.0969	0.7712	0.4420	0.7958	2.2727	2.2727	2.2727	88.0000	452.0000
chr18	0.4486	74.4273	0.8540	0.3792	0.8539	0.0000	0.0000	0.0000	30.0000	227.0000
chr19	0.6536	68.0040	0.7685	0.5444	0.7673	11.3636	11.3636	12.5000	88.0000	326.0000
chr2	0.4698	72.2848	0.8051	0.3867	0.8290	2.6786	2.6786	2.6786	112.0000	854.0000
chr20	0.5128	67.5380	0.7978	0.4471	0.8584	6.0000	6.0000	6.0000	50.0000	329.0000
chr21	0.5682	68.1541	0.7250	0.3509	0.7325	0.0000	0.0000	0.0000	23.0000	114.0000
chr22	0.5979	72.2927	0.7644	0.5146	0.6832	9.6154	9.6154	13.4615	52.0000	179.0000
chr3	0.4542	74.7699	0.8306	0.4730	0.8533	1.7241	1.7241	1.7241	116.0000	695.0000
chr4	0.4103	71.6918	0.8265	0.4079	0.8384	2.9851	2.9851	2.9851	67.0000	478.0000
chr5	0.4442	69.3582	0.8137	0.4007	0.8399	1.2500	1.2500	1.2500	80.0000	559.0000
chr6	0.3967	72.6984	0.8218	0.3454	0.8849	4.6154	4.6154	4.6154	65.0000	762.0000
chr7	0.4552	77.1745	0.8442	0.5044	0.8839	2.2989	2.2989	2.2989	87.0000	550.0000
chr8	0.4594	76.4481	0.8296	0.5064	0.8829	5.9701	5.9701	8.9552	67.0000	420.0000
chr9	0.4368	75.7245	0.8468	0.5302	0.8894	5.5556	5.5556	6.9444	72.0000	439.0000
chrX	0.4232	73.5622	0.8458	0.5625	0.8502	6.1224	6.1224	8.1633	49.0000	220.0000
