	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132
K562_act_chr1	0.00175582132527	-0.00225337356941	-0.00936063950222	-0.00180645181882	0.00791365760862	0.0110688623271	0.000443446164047	0.00383232277069	-0.00608984086448	-0.00988161099624	-0.00467952834537	0.000798040981578	0.0012733337036	0.00179319613296	-0.00324726105146	-0.00222710042127	0.00368166355526	0.000677314081223	-0.00397700479172	0.00770547590386	-0.00724610314119	-0.00663271115426	0.000299467219951	0.00692602526689	-0.00542927693879	-0.00172593591197	0.00208656838592	0.00374167861199	0.000742657747582	-0.00382698535966	0.00668967911752	0.00265978751576	-0.00538692750641	0.00306252530176	-0.00723478487288	-0.00526186448023	0.00139920598268	0.00598394040559	0.00540999319754	-0.00523769920838	-0.00343490900849	0.00336240291482	-0.000158096654855	-0.0142565795958	-0.00507005188071	-0.00806422850502	-0.00605195205182	0.00166934935842	0.000659158033066	0.00120901033552	-0.00428102917064	0.00181973142813	-0.001987628357	-0.00164641311547	-0.0022169573159	0.00017296407206	-0.00358985900094	-0.00476891617585	-0.00268616080045	-0.00170698292838	-0.00267504211905	0.0071713792741	0.00985499128633	0.00215011297842	0.00804773079104	0.00594953788771	0.00704426223754	0.00561078270517	0.00510522302882	0.00260786816218	7.75225080512e-05	0.00282727119527	-0.00204077793814	0.00543951553792	-0.000773611296739	0.00490558925032	-0.000755674325917	0.0108179555053	0.00642433401769	-0.014573252419	-0.014798841325	-0.00589987825959	-0.000382556316747	-0.00461603377774	-0.0101673857323	-0.00374064353627	0.00020974968994	-0.00369285238382	0.00301362759988	0.00609194325762	-0.00906804761586	0.00318249266597	-0.00268493801167	-0.00162896525461	-0.00515500601735	-0.00958291127503	0.00384894592689	-0.0025458253894	-0.0168096216272	-0.00697231397944	-0.00314684906453	-0.00507272274183	0.00317813927283	-0.00822189834283	0.00896858942766	-0.0147822833569	-0.00618266259297	-0.00140339399344	0.00286962648691	-0.00109507388248	0.0042911684693	-0.00613766573209	-0.00397949072242	-0.00217803219567	0.000793712038312	-0.00646855411804	-0.00988349186865	-0.00717967250207	-0.000862148971047	-0.000189927796729	0.00528973461184	0.00260621919855	-0.0114214270434	-0.0104397665413	-0.00289789200906	0.00568423751487	-0.00953307326012	-0.0105914961016	-0.00366899608198	-0.0011854433074	-0.00576871205971	-0.00334139528465	-0.00229423567837
K562_act_chr10	-6.67707723348e-05	-0.0021861261054	-0.0108929801954	-0.00205539473571	0.00907744572531	0.0119752746493	-0.00410082070746	-0.000885025003052	-0.0109222508724	-0.0108924281925	-0.00506257876809	-0.00132193510281	-0.00345140780098	-0.00169628258849	-0.00244263869606	-0.00215442619897	0.00123217438201	0.0013816975341	-0.00245987056858	0.00751238458348	-0.00548758095333	-0.00917762094881	-0.00327823770723	0.00800862600367	-0.0039969343935	-0.000394924929924	0.00212323020051	-8.05767836182e-05	0.00115939253623	-0.00133032808009	0.00308467090082	0.00375285732574	-0.00526170923446	0.00488992626413	-0.0043228970593	-0.0087705747292	0.00305371150338	0.00568392756204	0.00517273917971	-0.0055668710668	-0.00312289126195	0.0060462751953	-0.00304884211851	-0.0147831889886	2.76221389832e-05	-0.00802975228214	-0.00785108599331	0.000582971427393	-0.00189183113369	0.00161018609186	-0.00651454897234	0.00310052956147	-0.00340943725161	-0.000707292708586	-0.00170053073123	7.78432054535e-05	-0.00221300671556	-0.00749795289971	-0.00196714427675	-0.00172769947552	-0.00143023365803	0.00635199793584	0.00785285989977	0.00399564337882	0.0103512767351	0.00764669802433	0.00759954027234	0.0038344514004	0.00948331640405	0.00178709754281	0.00367201889488	0.00255726027709	-0.00400216556083	0.0064762610626	0.00217133657827	0.0043193136485	0.000494853614248	0.0086765479956	0.00813439402633	-0.0138493500543	-0.0133760610573	-0.00888443390741	-0.000314104368915	-0.00582705565735	-0.0124765774964	-0.00539877124012	0.00128843797769	-0.00158538941056	0.000919765263596	0.00805744490363	-0.00791137619178	0.00205131679542	-0.00171839698668	0.000894424267743	-0.00661760440772	-0.00856298824066	0.00307411814837	0.0007900310044	-0.0150508894369	-0.00840931674547	-0.00337069934736	-0.00301244529375	0.00308658779916	-0.00758790596236	0.00887929341232	-0.0141396081077	-0.0041643965336	-0.00461745228314	0.0030123242296	9.11162602369e-05	0.00581264191326	-0.00567020226426	-0.00378633925853	-0.00263417121588	0.000914560189222	-0.00875582957467	-0.00917764299646	-0.007944521209	0.00118302436748	-0.00152745599125	0.00573883022291	0.00355050292591	-0.0138643195463	-0.0119180026215	-0.00356186399852	0.00459406152538	-0.00975629025683	-0.00870907289496	-0.00207429788183	-0.00255022005211	-0.00580572152946	-0.00454944550056	-0.0034009343838
K562_act_chr11	0.00195405636625	-0.0017049991961	-0.010497495226	-0.0017886578935	0.00884409877198	0.012026927481	-0.00277508711281	0.000362000127558	-0.00524351781882	-0.00852729841255	-0.00567808944969	0.000121306737943	-0.00183559183387	-0.000724959591731	-0.00759749668481	-0.00335589287089	0.00291661226735	0.0029344047528	-0.00212139078975	0.00479031492203	-0.00790956935505	-0.0094149634568	-0.00323376232373	0.00396567724891	-0.00544812914797	-0.00130809579288	0.000456486693792	0.000989346974567	0.0016487591093	-0.00193318479627	0.0051012088497	0.00411228127206	-0.00401778410631	0.00736010631559	-0.00368788817965	-0.008727702385	0.00163994843749	0.00578591728949	0.0059564469831	-0.0027239400838	-0.00316441114092	0.00558439980857	-0.00492305651123	-0.0152094109049	-0.000459991612778	-0.00875181714738	-0.00614806287174	0.0011211388262	-0.000831717744319	0.0047722698548	-0.00380933337254	0.00553672473511	-0.00214655304918	-0.00192424707697	-0.00077336642622	0.000915912639161	-0.00530923448168	-0.00693065322294	-0.00471417306538	-0.00204398899073	-0.00248716081358	0.00598539332534	0.00703754119437	0.00612914157736	0.00665087691149	0.00716816457228	0.00701234861426	0.00764261928183	0.0072995666795	0.00149384149931	0.00515132645736	0.00307045171865	-0.0032133610064	0.00749139548032	0.00196314536585	0.00454188783629	0.000109961300973	0.0106761057659	0.0063849507311	-0.0143115516782	-0.0142569082084	-0.00843740961284	0.00135800262379	-0.00357788770192	-0.0111968096646	-0.00532281989034	-0.00162581990814	0.00106256676116	0.000990515881502	0.00496337126995	-0.00985537046377	0.0028231617461	-0.00416189470412	-1.51792776279e-05	-0.00874613874081	-0.00767345651775	0.00427665959983	0.000758422144565	-0.016984860999	-0.00578456647917	-0.0034988075377	-0.00258578621138	-0.0017674939158	-0.00943287417701	0.00968145677071	-0.0147222326826	-0.00652170221784	-0.00359471685257	0.00740837808652	0.000849148374364	0.0057959595353	-0.00416997712472	-0.00215290385371	-0.00294260823502	-0.000217034418897	-0.00706608498142	-0.0112032148112	-0.00832094769926	-0.00173962813817	-0.00379279461325	0.00386535331186	0.00261240902137	-0.0150529186735	-0.0110555693961	-0.00552900079803	0.00364458789918	-0.0103124136669	-0.0100433251802	-0.00452927247364	-0.00108622818469	-0.0045504381095	-0.00439223100384	-0.00270001703334
K562_act_chr12	0.00252768818728	-0.00319155359393	-0.0105863287163	-0.000580607435901	0.00845422308484	0.01309829398	-0.00289421830164	-0.000499279757426	-0.00528436042509	-0.00865239638073	-0.00597275927713	0.000578866678648	0.000554393777847	-0.00240394908405	-0.00513506377816	-0.00504140549487	0.0017308072104	0.000378557435977	-0.00331182091631	0.00815383931072	-0.00536208703862	-0.00640086921983	-0.000165284622391	0.00727279760554	-0.00345738273808	-0.0016778924903	0.00174462489619	0.00248038970301	0.00225571672582	-0.0026128324948	0.00325547306552	0.0020510718407	-0.00634644021359	0.0042686418661	-0.00370461402489	-0.00641671539624	0.00387866564333	0.00764879825369	0.0060074136044	-0.00342057756033	-0.00161097936155	0.00462168476007	-0.00154953121738	-0.0144753446214	-0.00164324331499	-0.00779694992701	-0.005404731402	0.0021638447492	-0.000737031995856	0.00470326561559	-0.00281415663059	0.00334672791077	-0.00267984207828	-0.000317439946718	0.000516118758799	0.00128462363436	-0.00279031741077	-0.00891945970673	-0.00371160394155	-0.000106654541272	-0.00319201394338	0.00397396061969	0.0068134571864	0.0068664479696	0.00760075960046	0.00801250354787	0.00747685552983	0.00300503072966	0.00891794483361	0.00355774852822	0.00239787654181	0.00349932479153	-0.00489269119407	0.00530004088925	0.000968483254182	0.00481134106292	-0.00239078466483	0.0103278054366	0.00539726277002	-0.0155978933377	-0.0156235266665	-0.00676895123702	0.000223107964538	-0.0029847320586	-0.0104571950949	-0.00890784235508	-0.00092371028938	-0.000711003994205	0.000251046215407	0.00629913499119	-0.00937717943479	0.0031991556873	-0.00320574522053	-0.00209542179448	-0.00626136337537	-0.00815645643162	0.00437251169948	-0.00224737460212	-0.0187527722838	-0.008791756672	-0.0054799158258	-0.00476910463123	0.0021001738233	-0.00743533769269	0.00840250045101	-0.0154415717595	-0.00714784326764	-0.00123315887604	0.00526476216431	-0.00181704928108	0.00532779356138	-0.005099159046	-0.00443891344035	-0.00472791842917	0.00106933099969	-0.00685518763753	-0.0106030165199	-0.0076281154058	-0.00159069997542	-0.00250033643606	0.00361714254153	0.0019207253461	-0.0127445318973	-0.0130545212824	-0.00189344792449	0.00334009739203	-0.0114889880199	-0.0111716506977	-0.00229213355347	-0.00179615240191	-0.00322386667433	-0.00294450477352	-0.000913467676315
K562_act_chr13	0.00228039850525	-0.00273316036465	-0.0128390803332	-0.00168413082158	0.00800461724355	0.0115104666078	-0.00327720802444	6.5578339697e-05	-0.00754970352171	-0.00799008725892	-0.0048254002728	0.000316558245234	-0.000376031348978	-0.00134668458284	-0.00651534365063	-0.00358107748581	0.0023542151565	0.00287290686198	-0.00306347450146	0.00636006364812	-0.00648415043291	-0.00628324398751	-0.00156599647837	0.00512312421558	-0.00612228019522	-0.00371976111379	0.00115075752896	0.00117171978669	0.00180505645406	-0.00108922631892	0.00548615304302	0.00279848059685	-0.00516879986179	0.00670941444556	-0.00571904093913	-0.00640653220575	0.00216514065277	0.00722361311552	0.00518050363427	-0.00218222239656	-0.00267802881542	0.00517864665462	-7.05635097272e-05	-0.0137536715025	-0.000536242900855	-0.00864002669316	-0.00564678340992	0.0023435246102	-0.00201335493622	0.0042602778726	-0.00489955649215	0.00339639383698	-0.004769259224	-0.000186601385784	0.000383136775989	0.000101796694647	-0.00291823746222	-0.00898477604999	-0.00346527792471	-0.00164087580789	-0.00369034194606	0.00591692152065	0.00854330005685	0.00453881382078	0.00818107675785	0.00670793023099	0.00768807759536	0.00337289638903	0.00864283779308	0.0040599955211	0.00245233774488	0.00235028582604	-0.00463265465505	0.00635558251959	0.00229843384181	0.00461128480355	0.000116843933279	0.00967779147982	0.00712075846018	-0.0152595591223	-0.0146027945649	-0.00554546155451	0.000359689268652	-0.00259986598247	-0.0121832945949	-0.00724119361823	-0.00120728021092	0.000673178396801	0.00151087092861	0.0060374895034	-0.00824741801983	0.00413989724146	-0.00452191552796	-0.0017886294002	-0.00752562985145	-0.0103227830535	0.00186038431185	-0.00120181626129	-0.0163512582699	-0.00880101310243	-0.00364088904694	-0.00441769426574	0.00106927669817	-0.00791060126418	0.0094609118371	-0.0147639030464	-0.00736922811267	-0.00190778746358	0.00585819147811	-0.00217469578448	0.00617032045829	-0.00493791440057	-0.00423000015052	-0.00349669413556	0.000942031283568	-0.0078269654953	-0.00971177512112	-0.00811685794582	-0.00338138544188	-0.00442456690553	0.00395718031045	0.00476942816108	-0.0131203493613	-0.0116639265406	-0.00214456062674	0.00397681878071	-0.0107459176275	-0.0103059878051	-0.00338929443132	-0.000666966807288	-0.00444554612749	-0.00167883428459	-0.00163160288728
K562_act_chr14	0.00116304187626	-0.00411832435291	-0.0117243415862	-0.0020934983136	0.00605878048717	0.0103534562962	-0.00317278119499	0.000308768457158	-0.00792544913148	-0.00941941060954	-0.00537660041903	0.000354828817154	-0.000355137239308	-0.000895568453767	-0.00572300538369	-0.00317676010972	0.00268251538884	0.00397567596204	-0.00302291018339	0.00791573444031	-0.00794154204687	-0.00829642436637	-0.000504935842295	0.00638649833554	-0.0071121349951	-0.00193168490618	0.00131805873712	0.00330563802552	-0.000786489747878	0.000302761887482	0.00539481808957	0.00351625978487	-0.00561420818384	0.00610750104201	-0.00414697702414	-0.00789815222596	0.00188031779332	0.00721135386978	0.00621429559235	-0.00421490228945	-0.00219821001204	0.00272755040324	-0.00267417638281	-0.015825850168	-0.0010995783116	-0.00827917959069	-0.00809189181423	0.00124082658966	-0.00190729835328	0.00160355379238	-0.00441979036958	0.00254465321008	-0.00422686411204	-0.00109295307777	0.000144736975686	0.000411928233616	-0.00178491402813	-0.00904436242162	-0.00288717387912	-0.00170158675213	-0.00562037451335	0.00445882441433	0.00738756242322	0.00485603956544	0.00650336231308	0.0076126363588	0.00852360291002	0.00674466542466	0.0096809214646	0.00404851330199	0.00305904347001	0.00531486466068	-0.00271310176667	0.00667615377682	0.00141883387114	0.00480093327392	0.000148922371679	0.0102300465381	0.0076664424341	-0.013820320508	-0.0162746708295	-0.00697171894521	-0.00157984695915	-0.00274599961552	-0.0123921112095	-0.00521100659755	-0.0010039402022	-0.00117919260007	0.00108821380832	0.00553351901725	-0.0085565737598	0.00328357070577	-0.00477789403117	-0.000605029277298	-0.00719662561744	-0.0112677050553	0.00331418553381	-0.00173317554218	-0.0181127284448	-0.00800348101243	-0.00324307304836	-0.00211304923538	0.00147711520387	-0.00838102494926	0.00929711093135	-0.0136417062995	-0.00792711883266	-0.00176752629638	0.00542814840769	-0.000545841204026	0.00508660387792	-0.00367210541127	-0.00514642799187	-0.00421061756333	0.00112443444539	-0.00825439704105	-0.00994581350085	-0.00634917218673	-0.000827945518105	-0.00427670093744	0.00418650555756	0.00307872306742	-0.0137718778955	-0.0133272203322	-0.00321928578704	0.00247127085548	-0.0120693628746	-0.0101558186985	-0.00325685776124	-0.00254180638079	-0.0061519534163	-0.00471941528847	-0.00330358101091
K562_act_chr15	0.00321810212232	-0.00376552679512	-0.011110147013	-0.00401063859105	0.00688102692383	0.0113435429572	-0.00319828562353	0.00195021091865	-0.00763489295437	-0.00765150524816	-0.00541337480031	0.00044510039253	-0.00446411820743	-0.0018644484504	-0.0048711854553	-0.00424057586526	0.00159069281618	0.00315467658164	-0.00234343070309	0.00892277709518	-0.00711301604046	-0.00818839497085	-0.000922461542902	0.00478634657371	-0.00444049066404	-0.00239667852294	0.000740959933114	0.000761768452988	0.00139837718619	-0.00091527769277	0.0049275162129	0.00431904951038	-0.00620347806238	0.0065157119492	-0.00330076925527	-0.00867527055961	0.00148251598496	0.00736883285904	0.00647277569814	-0.00281175311858	-0.00304312149135	0.00576448916054	-0.00439838696996	-0.0131285617426	-0.00337475657542	-0.0109420756495	-0.00564219571385	0.00418435555253	-0.00141993632093	0.00424456569632	-0.00424970124208	0.00588469570857	-0.00331438921196	-0.000707511466302	-0.00170622407157	-0.000160802560443	-0.00449979467957	-0.0101319542211	-0.00244008093823	-0.000880876385253	-0.0031849785187	0.0055588623609	0.00762688033491	0.00671209481692	0.00689542804337	0.0064667118171	0.00686275599591	0.00429835340765	0.00668310514747	0.00237858125805	0.00281572361038	0.00553882270399	-0.00351232558916	0.00522386417062	0.000944386994052	0.00348510873542	-0.000348998865632	0.0105035923356	0.00697847021681	-0.0128371396024	-0.0148447868143	-0.00642529852918	0.00159862389918	-0.00432693376905	-0.0122733044046	-0.00400365003318	0.000720411553796	-0.000356475810535	0.000149564325532	0.0064720248701	-0.00643733347028	0.00477327288678	-0.00414485601288	0.000843451312255	-0.00664873423026	-0.010690908845	0.00121313267664	-0.00118932716816	-0.0164311680816	-0.00740285295444	-0.00465390487808	-0.00460775666415	0.00181804898549	-0.00789975626925	0.00684930359193	-0.0157592270476	-0.00785472385274	-0.00297542017229	0.00296894014305	0.000388468809383	0.00344173873158	-0.00437007640453	-0.00459278780395	-0.00417376838176	0.00228366982541	-0.00607711867348	-0.00977520354721	-0.00764385213743	-0.000926148923075	-0.00332068075137	0.00538757351206	0.00447356700541	-0.0135655638744	-0.0118601037157	-0.00214712470584	0.00431341415004	-0.0102356099349	-0.010759408292	-0.00263043813406	-0.00176010374185	-0.00629702690602	-0.00215139207162	-0.00250142028109
K562_act_chr16	0.000121660438379	-0.00399685985887	-0.0106968145389	-0.000351891519606	0.0052709818405	0.0112904339892	-0.00276512759451	0.00245026433185	-0.00988053322062	-0.00925026344762	-0.00714239342494	-0.000406492160163	-0.00153676792559	0.000276369552979	-0.00756797112464	-0.00328864407535	0.00234843205639	0.00381216159199	-0.00217071311875	0.00609252440562	-0.00678444071157	-0.00625509159479	-0.00212591936162	0.00343391242544	-0.0066706766354	-0.00357825415941	0.00194820067813	0.00156585782484	0.00243988483173	-0.00269855180823	0.00315906653225	0.00374620548071	-0.00655452375275	0.00602568534733	-0.00517533828613	-0.00634828977123	0.000897342730536	0.0052027918052	0.00588568222318	-0.00225513680646	-0.000420666512555	0.00718090709541	4.06272343584e-05	-0.0112055134948	-0.000478178030692	-0.00891336655062	-0.00671620637158	0.00379935458077	-6.36184234082e-05	0.0032145109469	-0.00308960486668	0.00372068250658	-0.00196619111306	0.000660938523742	0.000456257098859	0.000722551278695	-0.00197238727764	-0.0100082402891	-0.00414521735132	-0.000426393605766	-0.0011252200286	0.00619763700008	0.00845325880515	0.0052079383525	0.00852895378188	0.00807315599287	0.00639237205375	0.00290415953864	0.0112665437665	0.0032654925907	0.00318190558864	0.0025039587699	-0.00182603540494	0.00949042034082	0.00284209168136	0.00302359776329	-0.000101863704493	0.00964830573517	0.00896348219116	-0.0161395903404	-0.0179863303559	-0.00818297196676	0.000918012193569	-0.00324557377334	-0.0142125081502	-0.00574448043297	-0.000491248912916	-0.000868438005526	0.00105591380004	0.00722056392185	-0.0102150816868	0.00241617716574	-0.00506753341069	-0.00160735630389	-0.00681424430153	-0.00897235131413	0.00275869250998	-0.00068235556376	-0.0160779651385	-0.00595062091908	-0.00438714257456	-0.00385471390482	0.000572688385452	-0.00946244076464	0.00958682766894	-0.0147265574864	-0.00591334855523	-0.00253777216471	0.00378244762872	-0.00384818360262	0.00465003037308	-0.00719173463996	-0.00673566738702	-0.00435086034631	0.00136298040092	-0.00787224717697	-0.00889747168183	-0.00729037388166	-0.00171695624643	-0.00157093345956	0.00284668908688	0.00533251487401	-0.0116429772042	-0.0110975652733	-0.00327054116397	0.0039561384684	-0.0100030838741	-0.0114277954905	-0.00456590715244	-0.00288757733368	-0.00605564601128	-0.00158929714523	-0.00342396368009
K562_act_chr17	0.00361459016545	-0.00345784155209	-0.0111421179591	-0.00295523427039	0.00909380538061	0.0138804888912	-0.00406698125297	0.000859464657963	-0.0054145389871	-0.00791413198426	-0.00356745525215	-0.00168962643919	-0.000882144472002	0.00208118091433	-0.00653948678978	-0.00448876485324	0.00191397304612	0.00343592228633	-0.00105318730606	0.00691178272062	-0.00700162665809	-0.00641849715036	-0.000529331378966	0.00609609676529	-0.00631189512915	-0.00314851451567	0.00129617893856	0.00124214341873	-0.000433092386343	0.00105589408547	0.00386636952034	0.00298529297821	-0.00621968143929	0.00542693241815	-0.00576085378673	-0.0072790238061	1.09236013661e-05	0.00921563688069	0.00661237439959	-0.0052103499839	-0.000224677676108	0.00653957016675	-0.000583097574335	-0.0151482212737	-0.00320019606096	-0.00832627471843	-0.00564282597069	0.00283772724162	-0.000222278112616	0.002136713611	-0.00486361151859	0.00326325489823	-0.00428920734263	-0.00184760910983	-0.00268779925408	0.000206455336396	-0.00248854318008	-0.00742447229946	-0.00101961345395	-0.0013610616193	-0.00519290293566	0.00474615640922	0.00748523620548	0.00565689657667	0.00763403987029	0.0058301411851	0.00638282146464	0.0039929428503	0.0101512712031	0.00363556485746	0.00214570848961	0.00300259832723	-0.0038292777589	0.00872786715107	0.00247111653565	0.00270880627663	-0.000182635337208	0.0122691566585	0.00886588146164	-0.0148757878084	-0.0164695048902	-0.00528338430463	0.00052995122949	-0.00359065635513	-0.0120539132996	-0.00505811555589	0.00251187305951	-0.00225555791204	4.31471888214e-05	0.00785524971803	-0.00734573863899	0.00327911818985	-0.0011583603027	-0.0015584894655	-0.00501742144121	-0.00955375443283	0.00288323623365	-0.00323256036809	-0.0154762453311	-0.00840598784027	-0.00413510542181	-0.00436540531913	0.000476430525274	-0.00837103991891	0.00847127029636	-0.0145463673714	-0.00595254429572	-0.00100746225426	0.0057490381734	-0.00270367100423	0.0030100754864	-0.00464014851352	-0.00558724453077	-0.00220205838768	0.000895850390057	-0.00998383770814	-0.00968154932565	-0.00887025328082	-0.00230664683046	-0.00295950709807	0.00324198850495	0.00426573776639	-0.0129098247778	-0.0127248763012	-0.00376351282879	0.0040458703377	-0.00992803558825	-0.0110792272251	-0.00271333288832	-0.00396196466917	-0.00527477164413	-0.00214760975343	-0.00425404923343
K562_act_chr18	0.00282979209778	-0.00212574003295	-0.0111042920439	-0.00193595510044	0.00835289057833	0.0116306397614	-0.00221192502989	0.00161449868775	-0.00671032487787	-0.00966585302419	-0.00567092290925	0.000935126049565	-0.00139353695171	-0.0016467718662	-0.00438329227115	-0.00377978609374	0.00113839966535	0.0013981363464	-0.0029841801087	0.00618349573265	-0.00802920956328	-0.00903781225406	-0.000936667084498	0.00457427617043	-0.00402448459892	-0.00251973181296	9.3116573632e-05	0.00111964902979	0.00110701540307	-0.000774383315846	0.00359689034312	0.0015851235194	-0.00577722468015	0.0065337150544	-0.00537185011691	-0.00831852271978	0.00137038639211	0.00575140302431	0.00588862328338	-0.00341427603373	-0.00180963412407	0.00600199770584	-0.0017007237149	-0.0139697535885	-0.000813251218966	-0.00953024441695	-0.00734367585853	0.0032221511787	-0.00138864051531	0.00342847842562	-0.00537708495048	0.00415956111506	-0.00340422684215	0.000340603812448	-0.000569599205538	0.000934848971631	-0.00216534895382	-0.00900176075783	-0.00237315026039	-0.000925149115928	-0.00314189038354	0.00415148212577	0.00769688829635	0.00449547621771	0.00625988022094	0.00780923122413	0.0107297631736	0.00559226630885	0.0101712414321	0.00382246953891	0.00302672020089	0.00291196684027	-0.00395233546851	0.00546471812217	0.000877885216038	0.00376985098083	0.000112211060283	0.0113073514837	0.00781169658387	-0.0132023464954	-0.0149399494807	-0.00596581145914	-0.00012772274884	-0.00325626910648	-0.0111706614196	-0.00457527978123	-0.000237428925274	0.000154808382695	0.000511483926733	0.00607837710298	-0.00921568944622	0.00172308538104	-0.00379450067774	-0.000630280054278	-0.0059740454265	-0.0104695408203	0.00295010052526	-0.00181609883725	-0.0177425646397	-0.00760274317357	-0.00296151856	-0.00316390758375	7.38591409892e-05	-0.00772675884526	0.0095951301859	-0.014427726474	-0.007168519029	-0.00292313458626	0.00560178877851	-0.000828656202649	0.00604514536767	-0.00484022944032	-0.00322052182825	-0.00218305095159	0.00150859703312	-0.00787569110228	-0.0103759928457	-0.00752663596868	-0.00258447567862	-0.00314136199623	0.00347231187553	0.00416063579744	-0.0157932426693	-0.0118807013666	-0.00291546895512	0.00372724049043	-0.0112872083762	-0.0121148764689	-0.00300310988256	-0.00249498433253	-0.00590869833435	-0.00281972259346	-0.00172340090681
