Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.4198	77.3797	0.8665	0.5147	0.9074	1.0031	4.7022	7.7116	1595.0000	11399.0000
chr1	0.4043	77.5043	0.8689	0.4742	0.9041	2.0979	2.0979	2.0979	143.0000	1134.0000
chr10	0.4286	76.9491	0.8502	0.5162	0.9043	1.2195	1.2195	15.8537	82.0000	565.0000
chr11	0.4570	74.0542	0.8397	0.5097	0.8936	8.3333	11.9048	21.4286	84.0000	557.0000
chr12	0.3804	79.5554	0.8943	0.5674	0.9416	14.2857	18.1818	24.6753	77.0000	590.0000
chr13	0.2975	76.8509	0.9025	0.4917	0.9084	7.1429	7.1429	7.1429	28.0000	274.0000
chr14	0.4106	75.5938	0.8552	0.4877	0.9056	4.2553	4.2553	4.2553	47.0000	361.0000
chr15	0.4962	74.2544	0.8259	0.4516	0.8725	0.0000	0.0000	0.0000	57.0000	360.0000
chr16	0.4665	79.5404	0.8748	0.6818	0.8946	4.2105	22.1053	32.6316	95.0000	355.0000
chr17	0.5561	73.2587	0.8301	0.5137	0.8534	11.9048	11.9048	11.9048	84.0000	469.0000
chr18	0.4042	72.7311	0.8476	0.3708	0.8926	0.0000	0.0000	0.0000	28.0000	255.0000
chr19	0.6324	75.4870	0.8202	0.5326	0.6998	4.0404	4.0404	4.0404	99.0000	308.0000
chr2	0.3675	79.7875	0.8965	0.5946	0.9555	5.1724	19.8276	25.0000	116.0000	953.0000
chr20	0.4443	78.3284	0.8524	0.4784	0.9211	5.0000	5.0000	22.5000	40.0000	338.0000
chr21	0.3709	72.2794	0.8716	0.4018	0.8857	0.0000	0.0000	0.0000	15.0000	136.0000
chr22	0.4984	76.3554	0.8427	0.6421	0.8347	16.6667	16.6667	20.8333	48.0000	166.0000
chr3	0.3873	76.2889	0.8724	0.5117	0.9128	9.1837	9.1837	10.2041	98.0000	760.0000
chr4	0.3678	76.8281	0.8600	0.3382	0.8934	0.0000	0.0000	0.0000	46.0000	572.0000
chr5	0.4143	76.3910	0.8464	0.4455	0.9317	3.1250	3.1250	3.1250	64.0000	656.0000
chr6	0.3399	77.1707	0.8656	0.5146	0.9376	7.1429	7.1429	11.9048	84.0000	787.0000
chr7	0.4739	76.8841	0.8642	0.4735	0.8727	7.1429	7.1429	8.3333	84.0000	617.0000
chr8	0.4088	74.7448	0.8614	0.5164	0.9256	3.3333	3.3333	21.6667	60.0000	467.0000
chr9	0.4211	79.2583	0.8655	0.5773	0.9213	9.7222	9.7222	13.8889	72.0000	470.0000
chrX	0.3684	80.9751	0.8972	0.6292	0.9250	4.5455	4.5455	4.5455	44.0000	248.0000
