Chrom	Loss	Balanced_accuracy	auROC	auPRC	auPRG	Recall_at_5%_FDR	Recall_at_10%_FDR	Recall_at_20%_FDR	Num_Positives	Num_Negatives
Combined	0.6762	63.3328	0.7052	0.2425	0.6168	0.0627	0.0627	0.0627	1595.0000	11399.0000
chr1	0.6075	74.2773	0.8158	0.3316	0.8016	1.3986	1.3986	1.3986	143.0000	1134.0000
chr10	0.7074	50.0000	0.5000	0.5634	0.0000	0.0000	0.0000	0.0000	82.0000	565.0000
chr11	0.7853	62.9595	0.7349	0.2348	0.5405	0.0000	0.0000	0.0000	84.0000	557.0000
chr12	0.7052	50.0000	0.5000	0.5577	0.0000	0.0000	0.0000	0.0000	77.0000	590.0000
chr13	0.6811	75.6387	0.7994	0.2895	0.7629	3.5714	3.5714	3.5714	28.0000	274.0000
chr14	0.7011	70.2982	0.7410	0.2920	0.6496	4.2553	4.2553	8.5106	47.0000	361.0000
chr15	0.6301	73.2602	0.7856	0.2919	0.6420	0.0000	0.0000	0.0000	57.0000	360.0000
chr16	0.7150	67.2795	0.7129	0.3511	0.5109	0.0000	0.0000	0.0000	95.0000	355.0000
chr17	0.8618	66.5245	0.7720	0.2967	0.6470	0.0000	0.0000	0.0000	84.0000	469.0000
chr18	0.6168	75.7983	0.8136	0.2392	0.6933	0.0000	0.0000	0.0000	28.0000	255.0000
chr19	0.7029	50.0000	0.5000	0.6216	0.0000	0.0000	0.0000	0.0000	99.0000	308.0000
chr2	0.5867	77.3040	0.8416	0.3857	0.8586	0.8621	0.8621	0.8621	116.0000	953.0000
chr20	0.6832	62.1524	0.7181	0.2859	0.7204	7.5000	7.5000	7.5000	40.0000	338.0000
chr21	0.7081	50.0000	0.5000	0.5497	0.0000	0.0000	0.0000	0.0000	15.0000	136.0000
chr22	0.7035	50.0000	0.5000	0.6121	0.0000	0.0000	0.0000	0.0000	48.0000	166.0000
chr3	0.7071	50.0000	0.5000	0.5571	0.0000	0.0000	0.0000	0.0000	98.0000	760.0000
chr4	0.7508	64.1722	0.8098	0.2041	0.7583	0.0000	0.0000	0.0000	46.0000	572.0000
chr5	0.5322	72.1608	0.7989	0.2122	0.6324	0.0000	0.0000	0.0000	64.0000	656.0000
chr6	0.7077	50.0000	0.5000	0.5482	-0.0000	0.0000	0.0000	0.0000	84.0000	787.0000
chr7	0.7089	50.0000	0.7789	0.2503	0.6231	0.0000	0.0000	0.0000	84.0000	617.0000
chr8	0.6099	77.1663	0.8354	0.3493	0.8111	1.6667	1.6667	1.6667	60.0000	467.0000
chr9	0.7078	50.0000	0.5000	0.5664	0.0000	0.0000	0.0000	0.0000	72.0000	470.0000
chrX	0.5178	68.8600	0.7897	0.3626	0.7436	0.0000	0.0000	0.0000	44.0000	248.0000
